#tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.01 0.00 0.00
3000 0.02 0.00 0.00
4000 0.03 0.00 0.00
5000 0.06 0.00 0.00
6000 0.09 0.00 0.00
7000 0.12 0.00 0.00
8000 0.15 0.00 0.00
9000 0.20 0.00 0.00
10000 0.24 0.00 0.00
11000 0.29 0.00 0.00
12000 0.35 0.00 0.00
13000 0.41 0.00 0.00
14000 0.47 0.00 0.00
15000 0.55 0.00 0.00
16000 0.62 0.00 0.00
17000 0.70 0.00 0.00
18000 0.79 0.00 0.00
19000 0.88 0.00 0.00
20000 0.97 0.00 0.00
21000 1.07 0.00 0.00
22000 1.18 0.00 0.00
23000 1.29 0.00 0.00
24000 1.40 0.00 0.00
25000 1.52 0.00 0.00
26000 1.64 0.00 0.00
27000 1.77 0.00 0.00
28000 1.91 0.00 0.00
29000 2.06 0.00 0.00
30000 2.18 0.00 0.00
31000 2.34 0.00 0.00
32000 2.49 0.00 0.00
33000 2.65 0.00 0.00
34000 2.82 0.00 0.00
35000 2.98 0.00 0.00
36000 3.15 0.00 0.00
37000 3.33 0.00 0.00
38000 3.51 0.00 0.00
39000 3.70 0.00 0.00
40000 3.89 0.00 0.00
41000 4.09 0.00 0.00
42000 4.29 0.00 0.00
43000 4.49 0.00 0.00
44000 4.72 0.00 0.00
45000 4.93 0.00 0.00
46000 5.15 0.00 0.00
47000 5.38 0.00 0.00
48000 5.60 0.00 0.01
49000 5.84 0.00 0.00
50000 6.09 0.00 0.01
