#tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.01 0.01 0.00
3000 0.03 0.02 0.01
4000 0.06 0.04 0.02
5000 0.10 0.06 0.04
6000 0.15 0.09 0.05
7000 0.20 0.12 0.07
8000 0.26 0.17 0.09
9000 0.34 0.21 0.12
10000 0.42 0.26 0.15
11000 0.53 0.32 0.18
12000 0.62 0.38 0.22
13000 0.73 0.44 0.26
14000 0.85 0.51 0.29
15000 0.99 0.59 0.34
16000 1.12 0.67 0.39
17000 1.27 0.76 0.44
18000 1.43 0.85 0.49
19000 1.59 0.95 0.55
20000 1.78 1.05 0.60
21000 1.95 1.16 0.66
22000 2.16 1.27 0.73
23000 2.36 1.39 0.80
24000 2.59 1.51 0.88
25000 2.81 1.64 0.96
26000 3.03 1.77 1.02
27000 3.29 1.91 1.11
28000 3.53 2.06 1.19
29000 3.78 2.20 1.28
30000 4.07 2.36 1.37
31000 4.36 2.52 1.47
32000 4.62 2.72 1.55
33000 4.94 2.86 1.65
34000 5.25 3.03 1.76
35000 5.52 3.21 1.84
36000 5.86 3.40 1.96
37000 6.18 3.59 2.07
38000 6.53 3.79 2.18
39000 6.92 4.00 2.31
40000 7.26 4.20 2.42
41000 7.55 4.41 2.53
42000 7.97 4.63 2.67
43000 8.38 4.85 2.79
44000 8.80 5.08 2.94
45000 9.18 5.31 3.06
46000 9.59 5.55 3.19
47000 10.01 5.79 3.35
48000 10.41 6.03 3.50
49000 10.92 6.29 3.65
50000 11.33 6.55 3.78
