#tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.00 0.01 0.00
3000 0.00 0.02 0.00
4000 0.00 0.04 0.00
5000 0.00 0.06 0.00
6000 0.00 0.09 0.00
7000 0.00 0.13 0.00
8000 0.00 0.16 0.00
9000 0.00 0.21 0.00
10000 0.00 0.26 0.00
11000 0.00 0.31 0.00
12000 0.00 0.38 0.00
13000 0.00 0.44 0.00
14000 0.00 0.51 0.00
15000 0.00 0.59 0.00
16000 0.00 0.67 0.00
17000 0.00 0.76 0.00
18000 0.00 0.85 0.00
19000 0.00 0.95 0.00
20000 0.00 1.05 0.00
21000 0.00 1.15 0.00
22000 0.00 1.27 0.00
23000 0.00 1.39 0.00
24000 0.00 1.51 0.00
25000 0.00 1.64 0.00
26000 0.00 1.77 0.00
27000 0.00 1.91 0.00
28000 0.00 2.05 0.00
29000 0.00 2.21 0.00
30000 0.00 2.36 0.00
31000 0.00 2.56 0.00
32000 0.00 2.68 0.00
33000 0.00 2.85 0.00
34000 0.00 3.04 0.00
35000 0.00 3.21 0.00
36000 0.00 3.40 0.00
37000 0.00 3.59 0.00
38000 0.00 3.78 0.00
39000 0.00 3.98 0.00
40000 0.00 4.19 0.00
41000 0.00 4.40 0.00
42000 0.00 4.62 0.00
43000 0.00 4.85 0.00
44000 0.00 5.06 0.00
45000 0.00 5.30 0.00
46000 0.00 5.54 0.00
47000 0.00 5.79 0.00
48000 0.00 6.03 0.00
49000 0.00 6.29 0.00
50000 0.00 6.54 0.00
