#tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.01 0.01 0.01
3000 0.03 0.03 0.03
4000 0.06 0.07 0.06
5000 0.10 0.11 0.10
6000 0.16 0.17 0.15
7000 0.23 0.24 0.20
8000 0.31 0.32 0.26
9000 0.40 0.42 0.34
10000 0.51 0.53 0.42
11000 0.63 0.65 0.53
12000 0.76 0.78 0.63
13000 0.91 0.91 0.74
14000 1.06 1.08 0.85
15000 1.24 1.26 0.99
16000 1.42 1.44 1.13
17000 1.60 1.79 1.32
18000 1.81 1.87 1.44
19000 2.04 2.06 1.61
20000 2.24 2.30 1.79
21000 2.49 2.54 1.96
22000 2.75 2.79 2.18
23000 3.01 3.06 2.40
24000 3.30 3.36 2.61
25000 3.59 3.65 2.83
26000 3.87 3.94 3.05
27000 4.19 4.29 3.31
28000 4.53 4.62 3.56
29000 4.87 4.96 3.82
30000 5.24 5.33 4.09
31000 5.58 5.68 4.38
32000 5.96 6.09 4.65
33000 6.36 6.50 4.96
34000 6.77 6.91 5.30
35000 7.19 7.31 5.57
36000 7.61 7.76 5.91
37000 8.00 8.15 6.22
38000 8.46 8.67 6.60
39000 8.97 9.24 6.98
40000 9.44 9.62 7.33
41000 9.94 10.16 7.62
42000 10.46 10.72 8.56
43000 11.02 11.24 8.46
44000 11.54 11.73 8.85
45000 12.05 12.31 9.28
46000 12.67 12.99 9.76
47000 13.23 13.45 10.11
48000 13.80 14.11 10.62
49000 14.40 14.66 11.04
50000 15.00 15.28 11.54
