#tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.02 0.01 0.00
3000 0.05 0.02 0.01
4000 0.07 0.04 0.02
5000 0.12 0.07 0.03
6000 0.20 0.09 0.05
7000 0.25 0.13 0.07
8000 0.35 0.17 0.09
9000 0.48 0.21 0.14
10000 0.57 0.27 0.15
11000 0.75 0.32 0.19
12000 0.89 0.38 0.22
13000 0.98 0.44 0.25
14000 1.16 0.52 0.30
15000 1.34 0.59 0.34
16000 1.53 0.70 0.39
17000 1.80 0.76 0.44
18000 1.96 0.85 0.49
19000 2.20 0.95 0.55
20000 2.43 1.05 0.60
21000 2.70 1.15 0.66
22000 2.98 1.27 0.74
23000 3.26 1.39 0.80
24000 3.58 1.51 0.87
25000 3.90 1.64 0.95
26000 4.20 1.77 1.03
27000 4.55 1.91 1.11
28000 4.99 2.05 1.19
29000 5.31 2.21 1.27
30000 5.67 2.37 1.37
31000 6.06 2.53 1.45
32000 6.48 2.69 1.55
33000 6.98 2.86 1.64
34000 7.40 3.03 1.77
35000 7.77 3.20 1.83
36000 8.28 3.39 1.95
37000 8.72 3.59 2.06
38000 9.20 3.78 2.19
39000 9.74 3.98 2.30
40000 10.32 4.19 2.43
41000 10.81 4.40 2.54
42000 11.36 4.62 2.66
43000 11.95 4.84 2.78
44000 12.51 5.07 2.94
45000 13.08 5.30 3.06
46000 13.69 5.54 3.20
47000 14.34 5.79 3.36
48000 14.97 6.04 3.49
49000 15.56 6.39 3.64
50000 16.27 6.55 3.77
